resource,change_type,key,baseline_id,comparison_id,changed_paths,message
org,changed,org,00o12rbljxj8EbvI9698,00o14igebb9XzvK0b698,$.companyName; $.subdomain,
applications,removed,My API Services App1,0oa14jw2jexR0cddS698,,,
applications,changed,Okta Access Certification Reviews,0oa12rbv0xoyPhkAV698,0oa14igmbhnEDhWYf698,$.credentials.signing.kid; $.orn,
applications,changed,Okta Admin Console,0oa12rbljxtCxUtTr698,0oa14igebbjjOrvHg698,$.credentials.signing.kid; $.orn,
applications,changed,Okta Browser Plugin,0oa12rblk0lJUiVFJ698,0oa14igebft0JLR64698,$.credentials.signing.kid; $.orn,
applications,changed,Okta Dashboard,0oa12rbljylGLVxDK698,0oa14igebcb37syUE698,$.credentials.signing.kid; $.orn,
applications,changed,Okta OIN Submission Tester,0oa12rblkdwxrsPJm698,0oa14igjtd3RlpNVb698,$.credentials.signing.kid; $.orn,
applications,changed,Okta Workflows,0oa12rbvtykLQboWH698,0oa14igmxoeJmeFCi698,$.credentials.signing.kid; $.orn; $.settings.app.initiateLoginURI; $.settings.app.redirectURI,
applications,changed,Okta Workflows OAuth,0oa12rbvxg0HMgbfe698,0oa14igmxpbK1BYrn698,$.credentials.signing.kid; $.orn,
policies,changed,MFA_ENROLL::Default Policy,00p12rblk6hXMiLHH698,00p14igjt8kIKU1HX698,$.conditions.people.groups.include[0],
policies,changed,OKTA_SIGN_ON::Default Policy,00p12rbljzrV59ac5698,00p14igebdcAqI91x698,$.conditions.people.groups.include[0],
policies,changed,PASSWORD::Default Policy,00p12rblk1twKW1bp698,00p14igebh0Cwrtqm698,$.conditions.people.groups.include[0],
policies,changed,PROFILE_ENROLLMENT::Default Policy,rst12rblk2xK0mFoS698,rst14igebi9XzTHCW698,$._rules[0].actions.profileEnrollment.uiSchemaId,
authorization_servers,changed,default,aus12rblk7jW5131Z698,aus14igjt70jcfQm9698,$.credentials.signing.kid; $.credentials.signing.lastRotated; $.credentials.signing.nextRotation; $.issuer,
domains,added,integrator-1703705.okta.com,,default,,
domains,removed,integrator-3799871.okta.com,default,,,
brands,added,navarsecurity-integrator-1703705,,bnd14igebbg02N8Vf698,,
brands,removed,navarsecurity-integrator-3799871,bnd12rbljxqHf40PF698,,,
